2025-07-26 13:09:20 - 🚀 Starting User Activity Tracker...
2025-07-26 13:09:20 - 🖥️ Tracking running applications...
2025-07-26 13:09:20 - 📂 Watching folder: C:\Users\hp\OneDrive\Desktop\dummy
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624S
2025-07-26 13:09:20 - 🪟 Running Process: 
2025-07-26 13:09:20 - 🪟 Running Process: Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 13:09:20 - 🪟 Running Process: RtkBtManServ.exe              5568 Services                   0      1,692 K
2025-07-26 13:09:20 - 🪟 Running Process: expressvpnd.exe               5596 Services                   0      7,160 K
2025-07-26 13:09:20 - 🪟 Running Process: RstMwService.exe              5608 Services                   0         92 K
2025-07-26 13:09:20 - 🪟 Running Process: SECOMN64.exe                  5620 Services                   0      1,600 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5640 Services                   0      2,276 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5660 Services                   0      1,072 K
2025-07-26 13:09:20 - 🪟 Running Process: WMIRegistrationService.ex     5684 Services                   0      1,096 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5776 Services                   0      9,828 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5816 Services                   0      1,424 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5852 Services                   0      1,124 K
2025-07-26 13:09:20 - 🪟 Running Process: conhost.exe                   5892 Services                   0        572 K
2025-07-26 13:09:20 - 🪟 Running Process: mysqld.exe                    6256 Services                   0      2,836 K
2025-07-26 13:09:20 - 🪟 Running Process: conhost.exe                   6408 Services                   0        556 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   6832 Services                   0        872 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   6576 Services                   0     15,228 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   6596 Services                   0     13,580 K
2025-07-26 13:09:20 - 🪟 Running Process: AggregatorHost.exe            8120 Services                   0      4,728 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   7328 Services                   0      1,344 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5724 Services                   0     11,748 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   7008 Services                   0      4,240 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   7892 Services                   0      2,544 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1896 Services                   0     10,748 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   4988 Services                   0     13,628 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   4740 Services                   0      6,300 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2080 Services                   0      7,416 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  10084 Services                   0      9,400 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  10480 Services                   0     12,832 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   5944 Services                   0      2,436 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  13756 Services                   0      1,836 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  14320 Services                   0        812 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  13104 Services                   0      1,372 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2780 Services                   0      3,032 K
2025-07-26 13:09:20 - 🪟 Running Process: SecurityHealthService.exe     9048 Services                   0     10,228 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   8732 Services                   0      2,828 K
2025-07-26 13:09:20 - 🪟 Running Process: dasHost.exe                  12364 Services                   0      4,968 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   8616 Services                   0      3,128 K
2025-07-26 13:09:20 - 🪟 Running Process: dasHost.exe                  16936 Services                   0      2,580 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  13792 Services                   0         80 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                  15252 Services                   0      2,120 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2088 Services                   0      3,128 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   7572 Services                   0      4,528 K
2025-07-26 13:09:20 - 🪟 Running Process: TouchpointGpuInfo.exe         7072 Services                   0      5,968 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   8152 Services                   0      8,248 K
