
--- Running Applications at 2025-07-26 10:23:17 ---

Image Name                     PID Session Name        Session#    Mem Usage
msedgewebview2.exe           14560 Console                   27     16,292 K
msedgewebview2.exe           17004 Console                   27        732 K
msedgewebview2.exe           14520 Console                   27      9,404 K
msedgewebview2.exe           17568 Console                   27      4,184 K
msedgewebview2.exe           14496 Console                   27      1,156 K
msedgewebview2.exe           19768 Console                   27      8,096 K
HPSystemEventUtilityBackg    18524 Console                   27      7,536 K
HPMediaNetwork.exe            4748 Console                   27      4,408 K
HPAudioSwitch.exe            11820 Console                   27      5,648 K
svchost.exe                  22984 Console                   27      6,508 K
ApplicationFrameHost.exe     21320 Console                   27     22,308 K
svchost.exe                   3016 Console                   27        512 K
svchost.exe                  20220 Console                   27      5,508 K
WidgetService.exe             6480 Console                   27      1,784 K
dllhost.exe                   9716 Console                   27      4,196 K
dllhost.exe                  16300 Console                   27      1,040 K
dllhost.exe                  10620 Console                   27      2,892 K
dllhost.exe                  24436 Console                   27      5,420 K
ShellExperienceHost.exe      24012 Console                   27      2,032 K
RuntimeBroker.exe            21808 Console                   27      1,560 K
SystemSettings.exe           13724 Console                   27        140 K
UserOOBEBroker.exe           13244 Console                   27        272 K
unsecapp.exe                 17972 Console                   27      2,572 K
svchost.exe                  17608 Services                   0        976 K
LockApp.exe                  11676 Console                   27      5,572 K
RuntimeBroker.exe             1484 Console                   27     10,832 K
HPSystemEventUtilityHost.     2164 Console                   27     10,496 K
smartscreen.exe              14924 Console                   27      3,880 K
svchost.exe                  13656 Services                   0      1,952 K
msedge.exe                   23096 Console                   27     62,772 K
msedge.exe                    9824 Console                   27      3,412 K
msedge.exe                    5880 Console                   27     25,632 K
msedge.exe                   18356 Console                   27     22,420 K
msedge.exe                   12888 Console                   27      6,968 K
WhatsApp.exe                  1676 Console                   27   2,64,676 K
svchost.exe                   8012 Services                   0      4,680 K
RuntimeBroker.exe            22776 Console                   27     16,452 K
audiodg.exe                  15448 Services                   0     15,108 K
idea64.exe                   17944 Console                   27  19,89,192 K
SearchProtocolHost.exe        9036 Services                   0     11,404 K
fsnotifier.exe               20944 Console                   27      1,628 K
conhost.exe                  21948 Console                   27      2,032 K
java.exe                     19068 Console                   27   1,19,440 K
conhost.exe                  15744 Console                   27      5,688 K
java.exe                     17276 Console                   27     52,324 K
conhost.exe                  10108 Console                   27      6,368 K
backgroundTaskHost.exe       23504 Console                   27     32,688 K
RuntimeBroker.exe            10764 Console                   27     11,160 K
svchost.exe                  22208 Services                   0      8,212 K
java.exe                     19568 Console                   27     48,360 K
java.exe                     18060 Console                   27     46,640 K
conhost.exe                  18388 Console                   27      7,128 K
conhost.exe                  13816 Console                   27      7,128 K
tasklist.exe                  2492 Console                   27     11,620 K
conhost.exe                  18532 Console                   27      6,996 K
